公司名稱,產業類別,聯絡人,產業描述,電話,資本額,傳真,員工人數,地址,公司網址,官方,地址相同,資本額誤差
徐薇英文九份子分校_臺南市私立育仁文理短期補習班,補習班,暫不提供,補習班,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
騰林建設股份有限公司,建築工程業,黃小姐,建築工程業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市永康區大灣東路,,,,
啢啢餐桌_食趣行號,餐館業,白先生,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市北區臨安路二段335號1樓,,,,
麗開模具有限公司,其他相關製造業,施小姐,其他相關製造業,06-2538277,暫不提供,06-2538577,暫不提供,臺南市永康區中正三街455巷9號,,,,
大金汽車國際有限公司,其他汽機車相關業,蘇總經理,BENZ,06-2711166,3000萬元,暫不提供,暫不提供,臺南市永康區永大路一段12號,http://www.da-king.com.tw,,,
泰吉軒實業有限公司,其他食品製造業,暫不提供,其他食品製造業,暫不提供,2000萬元,暫不提供,暫不提供,暫不提供,https://tachiz.en.alibaba.com/,,,
帛鄉眼鏡實業有限公司,塑膠製品製造業,黃小姐,塑膠製品製造業,06-2870169,暫不提供,06-2870252,暫不提供,臺南市安南區公學路7段30-2號,,,,
蔡永隆婦產科診所(籌備處),診所,蔡先生,診所,暫不提供,暫不提供,暫不提供,暫不提供,臺南市中西區中正路304號,,,,
國泰人壽保險股份有限公司_南輝通訊處(古修銘),人身保險業,古修銘先生,人身保險業,06-2130492,1000億,暫不提供,30000人,臺南市中西區西門路一段496號11樓B室,https://www.cathaylife.com.tw,,,
湛極企業社,建物裝修及裝潢業,暫不提供,建物裝修及裝潢業,暫不提供,100萬元,暫不提供,暫不提供,暫不提供,,,,
廣倫精密工業股份有限公司,其他機械製造修配業,暫不提供,其他機械製造修配業,暫不提供,暫不提供,暫不提供,40人,暫不提供,https://www.guanglun.com.tw/,,,
志全鑫電機有限公司,通用機械設備製造修配業,莊先生,變壓器製造修配業,06-3660556,暫不提供,06-3660559,暫不提供,臺南市仁德區中正路一段599巷30弄1號,,,,
展偉科技有限公司,管線╱管道工程相關業,洪先生,管線╱管道工程相關業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市永康區大同街119之2號,,,,
臺南市私立寶仁幼兒園,學前教育事業,郇小春園長,學前教育事業,06-2369311,5000萬元,暫不提供,52人,臺南市北區開南街211巷2號,https://pao-jen.topschool.tw/Home/Main,,,
馬可先生麵包坊_馬可先生食品企業股份有限公司,食品什貨零售業,人資部,食品什貨零售業,暫不提供,暫不提供,暫不提供,600人,臺南市仁德區文華路三段428巷53弄11號,http://www.mrmark.com.tw,,,
廖老大歸仁文化店_拾潁茶飲店,飲料店業,簡小姐,飲料店業,06-2301837,20萬元,暫不提供,暫不提供,臺南市歸仁區文化里文化北街178號,https://www.facebook.com/阿娘喂廖老大茶飲-歸仁文化店-105237385555975/,,,
私立愛幼文理短期補習班,補習班,詹小姐,補習班/安親/才藝班,06-7211838,60萬元,暫不提供,4人,臺南市佳里區信義一街271巷31弄3號1-2樓,,,,
富強鑫精密工業股份有限公司,精密儀器相關製造業,潘小姐,精密機械製造業,暫不提供,15億,暫不提供,338人,臺南市關廟區埤頭里保東路269號,https://www.fcs.com.tw/tw/index.html,,,
回鄉文創有限公司,廣告行銷公關業,李小姐,廣告行銷公關業,06-2997958,600萬元,06-2997918,10人,臺南市安平區光州四街23號1樓,https://www.huisha888.com,,,
兆子星營造工程股份有限公司,建築工程業,鄭小姐,營造業,06-2011388,1億1750萬元,06-2019935,50人,臺南市永康區中華路425號16樓之3,,,,
三富釣具股份有限公司,其他相關製造業,暫不提供,釣漁具釣竿配件.研發設計製造,暫不提供,暫不提供,暫不提供,70人,暫不提供,http://www.alpstackle.com,,,
蜜果子農產行,農╱畜╱水產品零售業,暫不提供,農╱畜╱水產品零售業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
同成輪胎有限公司,汽機車及其零配件╱用品零售業,陳小姐,汽機車及其零配件╱用品零售業,06-2901466,暫不提供,暫不提供,20人,臺南市東區崇明路251號,http://www.tc5123.com.tw,,,
文昌海南雞飯_鋐億企業社,餐館業,暫不提供,餐館業,暫不提供,25萬元,暫不提供,5人,暫不提供,https://www.facebook.com/hongyi1024/,,,
翔佳實業有限公司,農藝及園藝業,暫不提供,農藝及園藝業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
彼向室內設計有限公司,室內設計業,暫不提供,室內設計業,暫不提供,30萬元,暫不提供,5人,暫不提供,https://www.facebook.com/BeShine.TN,,,
榮誠輪胎行,汽機車維修業,張小姐,汽車輪胎底盤專業維修,06-2795528,暫不提供,暫不提供,暫不提供,臺南市仁德區仁義里中山路378、378之1號,,,,
垣慶建設股份有限公司,建築設計業,林小姐,建築管理業,06-2751103,1280萬元,06-2750988,11人,臺南市北區開元路212巷52號,http://www.youtrust.com.tw,,,
佳揚國際企業有限公司,汽車及其零件製造業,暫不提供,國際貿易,暫不提供,600萬元,暫不提供,3人,暫不提供,http://www.jaiyang.com.tw,,,
精聯保險經紀人股份有限公司_精豪管理處,人身保險業,鄭先生,保險經紀人業,06-2673512,6000萬元,暫不提供,暫不提供,臺南市東區大同路二段615號5樓,https://g-insurance.com.tw/about/index.html#describe,,,
五色有限公司,綜合商品批發代理業,蔡小姐,食品相關行業,06-5012090,500萬元,暫不提供,20人,臺南市新市區民族路137號,,,,
盈賓全雞料理,餐館業,方小姐,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安定區海寮里海寮5之36號,https://www.facebook.com/123580582375079/,,,
竣富企業社,機械器具零售業,王小姐,機械器具零售業,暫不提供,暫不提供,暫不提供,30人,臺南市安南區海佃路二段725巷39號,,,,
萬象機械工程有限公司,其他機械製造修配業,暫不提供,其他機械製造修配業,暫不提供,1000萬元,暫不提供,36人,暫不提供,http://www.wan-shian.com/,,,
馬博榮婦產專科診所,診所,暫不提供,其他醫療保健相關,暫不提供,暫不提供,暫不提供,10人,暫不提供,,,,
竤揚科技工程有限公司,環境衛生及污染防治服務業,劉小姐,環境衛生及污染防治服務業,06-3022201,暫不提供,06-3022799,8人,臺南市永康區東橋7路398號,https://haoyang2020.com/,,,
凱士達國際股份有限公司,綜合商品批發代理業,李小姐,汽車/機車/自行車零配件、五金工具進出口貿易商,暫不提供,7650萬元,暫不提供,30人,臺南市安南區工明二路37號1樓,http://www.k-star.com,,,
里約亮毅診所,診所,鄭先生,診所,06-2623713,暫不提供,暫不提供,暫不提供,臺南市南區建南里興隆路243號1樓,,,,
宸揚資科股份有限公司,電腦軟體服務業,暫不提供,電腦軟體服務業,暫不提供,860萬元,暫不提供,15人,暫不提供,http://www.jwisdom.com.tw,,,
東隆電器有限公司,家庭電器／設備及用品批發業,廖俊雄先生,電器零售業,06-2891925,3000萬元,06-2250868,45人,臺南市東區東門路三段226巷97弄2號,http://www.panashop.com.tw,,,
台南市議員參選人江品璁服務處,政府／民意機關,暫不提供,政府╱民意機關,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
綠芽牙醫診所(籌備處),診所,暫不提供,診所,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
威欣系統股份有限公司,其他相關製造業,藍小姐,其他相關製造業,暫不提供,8000萬元,暫不提供,12人,臺南市新市區三舍里三舍207之1號,https://www.wsltdtw.com,,,
銓詠建設事業股份有限公司,其他營造業,陳先生,其他營造業,06-5960588,暫不提供,暫不提供,暫不提供,臺南市關廟區山西里興中街1號,,,,
歐得生企業股份有限公司,建材╱傢俱零售業,呂小姐,進口廚俱,06-2997881,2000萬元,06-2997982,7人,臺南市安平區永華路二段1115號,,,,
威鉅精密鈑金股份有限公司,精密儀器相關製造業,李先生,通用機械設備製造修配業,06-3842556,暫不提供,暫不提供,暫不提供,臺南市安南區臺南科技工業區工業二路150號,,,,
久菱實業股份有限公司,其他零售業,洪小姐,製造批發零售,06-2541636,500萬元,06-2542217,10人,臺南市永康區中正南路349巷100號,http://www.chiulingco.com/,,,
神族特攻國際物流有限公司,儲配／運輸物流業,卓小姐,儲配╱運輸物流業,暫不提供,2500萬元,暫不提供,10人,臺南市歸仁區文化街3段720巷36號1樓,http://www.longtzwu.com.tw/index.html,,,
宥盛科技股份有限公司,其他相關製造業,周小姐,化妝品相關製造業,06-6995208,7950萬元,暫不提供,50人,臺南市六甲區和平街185-7號,https://yo-sun.com.tw,,,
品美內衣有限公司,紡織成衣業,暫不提供,紡織成衣業,暫不提供,暫不提供,暫不提供,70人,暫不提供,,,,
臺南市私立活水幼兒園,學前教育事業,黃先生,學前教育事業,06-5925088,暫不提供,暫不提供,暫不提供,臺南市安定區港尾里港子尾54之5號,https://living-water.com.tw/,,,
允大鋁業股份有限公司,鋁基本工業,蔡小姐,鋁基本工業,暫不提供,6000萬元,暫不提供,76人,臺南市仁德區保安路一段39號,,,,
未艾公寓_未艾文創股份有限公司,其他餐飲業,徐小姐,旅宿餐飲業,06-2226696,400萬元,暫不提供,暫不提供,臺南市中西區正興街77巷10號,https://www.facebook.com/welove7710/,,,
和爺麻辣_和爺餐飲店,餐館業,王先生,餐館業,06-2232773,18萬元,暫不提供,10人,臺南市東區東門里北門路一段12號1樓,,,,
德鴻畫廊,其他零售業,暫不提供,其他零售業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
家信國際企業有限公司,人力派遣服務,江小姐,企業管理及人力資源管理,暫不提供,500萬元,暫不提供,18人,臺南市永康區大橋一街103巷192號1樓,http://www.jaishin.com.tw,,,
世構科技有限公司,光電產業,暫不提供,光電產業,暫不提供,暫不提供,暫不提供,8人,暫不提供,,,,
沐聚合倉有限公司,食品什貨零售業,黃小姐,物流配送公司,06-5892403,暫不提供,暫不提供,10人,臺南市善化區小新營320-42號,,,,
主祺環球企業有限公司,運動服務業,宋名豐,培養職業/業餘運動人才就業於亞洲美洲市場，相關產品代言服務業,06-2280600,暫不提供,06-2242289,暫不提供,臺南市北區長興里公園路321巷7號1樓,https://drive.google.com/file/d/1QTZgGao3ZaYT-M_pBSbfuzpHyB3E6eTt/view?usp=sharing,,,
十全診所附設護理之家,診所,蔡小姐,診所附設護理之家,06-2265088,暫不提供,06-2264339,暫不提供,臺南市中西區永福路二段3號2~4樓,,,,
1225服飾專櫃_明麗莎企業社,鞋類／布類／服飾品零售業,王小姐,鞋類／布類／服飾品零售業,06-7834878,暫不提供,06-7835469,暫不提供,臺南市學甲區中山路172-2號,,,,
星空酒吧,其他餐飲業,楊小姐,餐酒館,06-2239116,1000萬元,暫不提供,暫不提供,臺南市中西區康樂街116號,,,,
環祺實業有限公司,其他相關製造業,暫不提供,防火建材批發、批發,暫不提供,500萬元,暫不提供,暫不提供,暫不提供,,,,
木棧商業空間設計_木棧有限公司,室內設計業,楊小姐,室內裝潢業,06-2978779,100萬元,06-2985525,10人,臺南市中西區永華一街35號1樓,,,,
海誠水產,農╱畜╱水產品批發業,暫不提供,農╱畜╱水產品批發業,暫不提供,600萬元,暫不提供,5人,暫不提供,,,,
隆程開發有限公司,環境衛生及污染防治服務業,暫不提供,環境衛生及污染防治服務業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
國展音響有限公司,家庭電器／設備及用品零售業,暫不提供,家電音響銷售,暫不提供,1200萬元,暫不提供,暫不提供,暫不提供,https://www.proton.com.tw/,,,
秘境皂坊,藥品／化妝品及清潔用品零售業,暫不提供,藥品╱化妝品及清潔用品零售業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
縱貫線社群顧問有限公司,廣告行銷公關業,暫不提供,廣告行銷公關業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
新加坡商天格科技股份有限公司,其他相關製造業,職務聯絡人,其他相關製造業,暫不提供,6300萬元,暫不提供,56人,臺南市南區新和二路13號,https://tgtlenses.com.tw/,,,
臺南市私立祐健老人長期照顧中心(養護型),其他醫療保健服務業,林小姐,其他醫療保健服務業,06-2260303,暫不提供,06-2208413,暫不提供,臺南市中西區開山路90號,,,,
古丁原味品茶館_三十而立商行,飲料店業,陳先生,飲料店業,06-2006477,暫不提供,暫不提供,暫不提供,臺南市東區東明里東安路83號1樓,https://www.facebook.com/古丁原味品茶館-東安店-106474107919146/,,,
良匠有限公司,汽機車及其零配件用品／批發業,暫不提供,汽修工具、氣動工具、手工具／國際貿易業,暫不提供,1000萬元,暫不提供,12人,暫不提供,https://www.firstinfo.com.tw,,,
樂原教育有限公司,其他教育服務業,暫不提供,英語教育服務業,暫不提供,暫不提供,暫不提供,13人,暫不提供,https://www.happylandedu.com/index.aspx,,,
茶客棧富強店_古早味茶客棧,飲料店業,暫不提供,飲料店業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
歡薪實業股份有限公司,文具禮品相關業,林小姐,文具玩具禮品業,06-2980126,1000萬元,06-2980828,10人,臺南市安南區文平路207號14樓之2,http://www.cheerstar.com.tw/,,,
新元豪企業股份有限公司,汽機車及其零配件／用品零售業,何小姐,汽.機車及自行.電動車相關業,06-5930326,1200萬元,06-5931650,80人,臺南市安定區中沙里沙崙52號,http://www.hyhtw.com/chi/index.php,,,
文弘文化有限公司,專門設計相關業,暫不提供,美工設計、活動場佈服務業,暫不提供,400萬元,暫不提供,10人,暫不提供,https://zh-tw.facebook.com/wenhung2014/,,,
臺南市私立佳鷹文理技藝短期補習班,補習班,暫不提供,補習班,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
晴天眼科診所,診所,暫不提供,診所,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
宗億精密股份有限公司,精密儀器相關製造業,周素岑小姐,精密儀器相關製造業,06-3571665,暫不提供,06-3571650,暫不提供,臺南市安南區塭南里安昌街219巷53號1樓,,,,
浩穎國際有限公司,室內設計業,吳小姐,室內設計業,06-2535367,100萬元,06-2435700,8人,臺南市永康區中華路964號1樓,https://www.houying-design.com.tw/,,,
長榮大學_環境資訊研究中心,大專校院教育事業,劉小姐,大專校院教育事業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市歸仁區長大路1號,http://dweb.cjcu.edu.tw/envircenter?lang=zh-TW,,,
targetsports_艾傑國際有限公司,綜合商品批發代理業,蔡小姐,百貨零售相關業,06-3316619,2300萬元,06-3316629,50人,臺南市東區裕敬路181號,http://www.targetsports.com.tw,,,
正懿企業有限公司,綜合商品批發代理業,暫不提供,建材傢俱裝潢工程,暫不提供,1200萬元,暫不提供,40人,暫不提供,http://www.zydoor.com.tw,,,
全球大車隊企業股份有限公司,汽車客運業,暫不提供,汽車客運業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
天鉞有限公司,其他相關製造業,暫不提供,其他相關製造業,暫不提供,500萬元,暫不提供,6人,暫不提供,,,,
式澳營造有限公司,建築工程業,薛小姐,營造建築業、土木工程業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市南區同安里同興路131巷57號,http://www.maoshenchiang.com,,,
天子電子股份有限公司,其他電子零組件相關業,暫不提供,電子相關製造業,暫不提供,2100萬元,暫不提供,24人,暫不提供,http://www.ten-tronics.com,,,
熊麻肌健身工作室_肌動力有限公司,運動服務業,陳先生,運動服務業,06-5834999,暫不提供,暫不提供,2人,臺南市善化區蓮潭里西拉雅大道340號,https://bmfitnesstw.mystrikingly.com/,,,
新鴻發科技有限公司,其他機械製造修配業,賴小姐,其他機械製造修配業,06-5834107,暫不提供,暫不提供,暫不提供,臺南市善化區南部科學園區中山路240巷1-57號1樓,,,,
尚立光電股份有限公司,光學器材製造業,周小姐,電子零組件製造業、光學儀器製造業,暫不提供,1億4000萬元,06-2437011,10人,臺南市永康區中正路748號,http://www.shinyoptics.com.tw/,,,
臺南市私立康乃爾文理短期補習班,補習班,暫不提供,補習班,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,https://www.facebook.com/cornelleducationalschool,,,
傑俐科技股份有限公司,其他電子零組件相關業,魏小姐,電子相關製造業,暫不提供,暫不提供,暫不提供,85人,臺南市永康區大灣路942巷371弄100號,http://www.genius.com.tw/index.asp,,,
咖啡明堂_明堂冷飲店,飲料店業,林小姐,咖啡輕食,06-2934139,暫不提供,暫不提供,暫不提供,臺南市安平區建平路139號1樓,https://www.dawnroom.com,,,
明珠媒體科技有限公司,多媒體相關業,暫不提供,多媒體相關業,暫不提供,暫不提供,暫不提供,4人,暫不提供,,,,
大和盛科技股份有限公司,其他電子零組件相關業,蔡先生,電子相關製造業,暫不提供,1000萬元,暫不提供,暫不提供,臺南市永康區南興路48巷1之1號,,,,
遠炬有限公司,塑膠製品製造業,暫不提供,進出口製造商,暫不提供,5500萬元,暫不提供,55人,暫不提供,http://www.proheroeyewear.com,,,
富立櫥櫃有限公司,室內設計業,暫不提供,室內設計業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
BYC服飾店_汎棋企業社,鞋類╱布類╱服飾品零售業,暫不提供,鞋類╱布類╱服飾品零售業,暫不提供,暫不提供,暫不提供,3人,暫不提供,https://www.facebook.com/B.Y.C999/,,,
昌展興業有限公司,紙相關製造業,暫不提供,紙相關製造業,暫不提供,暫不提供,暫不提供,10人,暫不提供,,,,
一心國際人力仲介有限公司,人力仲介代徵,白小姐,外勞仲介,06-2312222,500萬元,06-2312111,4人,臺南市永康區埔園街273號1樓,http://www.yixin-manpower.url.tw/index.html,,,
峯祿能源企業社,建築及工程技術服務業,林先生,建築及工程技術服務業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安平區慶平路191號2樓,,,,
弘爺漢堡_綠葳實業社,餐館業,林小姐,餐館業,06-3561696,暫不提供,暫不提供,暫不提供,臺南市安南區安和路五段118號,,,,
臺南市私立艾上文理短期補習班,補習班,王主任,補習班,06-5719793,200萬元,暫不提供,暫不提供,臺南市麻豆區民生路1-1號,,,,
旺來鄉國際企業股份有限公司,食品什貨零售業,人事許小姐,食品什貨零售業,暫不提供,1000萬元,暫不提供,暫不提供,臺南市仁德區中山路797號,,,,
富雅樂企業股份有限公司,紡織成衣業,毛惠芬小姐,製造業,06-5836216,暫不提供,06-5851966,150人,臺南市善化區小新里苗圃巷1號(741),http://www.fehrer.com.tw/,,,
梅嶺國際有限公司,農╱畜╱水產品零售業,賴先生,農產加工,06-5751400,暫不提供,06-5755689,暫不提供,臺南市楠西區灣丘里香蕉山20號1樓,https://www.5751400.com.tw,,,
惠群牙醫診所,診所,暫不提供,診所,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
栢鼎開發_小而美工程行,其他營造業,暫不提供,其他營造業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
倡承股份有限公司,綜合商品批發代理業,施小姐,螺絲.螺帽分檢包裝,06-2907585,800萬元,06-2907128,10人,臺南市仁德區文華路二段1280號,,,,
尚寶泰科技機械有限公司,機械器具批發業,吳小姐,機械器具批發業,06-2318099,500萬元,06-2318855,4人,臺南市永康區龍埔街205號1樓,,,,
華創噴墨科技有限公司,其他印刷輔助業,暫不提供,其他印刷輔助業,暫不提供,暫不提供,暫不提供,16人,暫不提供,http://www.3mac.tw,,,
豆的甜湯_豆的食品有限公司,其他餐飲業,暫不提供,其他餐飲業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
楊牙醫診所,診所,暫不提供,診所,暫不提供,200萬元,暫不提供,2人,暫不提供,,,,
松照實業有限公司,其他營造業,暫不提供,其他營造業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
臺南蛋品股份有限公司,農／畜／水產品批發業,黃先生,洗選蛋、液體蛋等蛋類加工與買賣,暫不提供,2600萬元,暫不提供,70人,臺南市關廟區關新路二段387號,https://service809.shoplineapp.com/,,,
原創生醫股份有限公司,藥品製造業,廖小姐,生技醫藥研發業,02-26588599,4億7050萬元,暫不提供,暫不提供,臺南市新市區南部科學園區南科二路9號2樓之1,http://www.i-obm.com/,,,
道達旅店股份有限公司,旅館業,蔣佳寰先生,旅館業,06-2228896,500萬元,暫不提供,10人,臺南市中西區康樂街169號,https://ddhotel169.com,,,
晟耀營造有限公司,其他營造業,李小姐,其他營造業,暫不提供,1200萬元,暫不提供,20人,臺南市南區鹽埕路103巷40號,,,,
睿格實業有限公司,電力機械器材製造修配業,林先生,空壓機機械設備代理業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市中西區林森路,,,,
金旭泰實業有限公司,其他金屬相關製造業,暫不提供,金屬表面處理及金屬電鍍業,暫不提供,500萬元,暫不提供,20人,暫不提供,http://10cec00001.iyp.tw/about-us.html,,,
巨森尼股份有限公司,紡織成衣業,黃先生,成衣加工、包袋,暫不提供,100萬元,暫不提供,5人,臺南市歸仁區中山路3段81巷8號1樓,,,,
雅璱美學診所,診所,李小姐,診所,06-2351855,暫不提供,06-2351377,暫不提供,臺南市北區開元路511號,,,,
安禾快餐店,餐館業,林先生,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市安南區州南里長和路2段61號1樓,,,,
永大福建設有限公司,建物裝修及裝潢業,莊小姐,建築工程,06-3311568,暫不提供,06-3310236,暫不提供,臺南市東區裕信路338號,http://www.yongdafu.com.tw/project1-0.htm,,,
利宇實業股份有限公司,建築工程業,姚小姐,"營建工程,BOT開發案,建築工程,景觀工程,汙水廠新建工程",06-2461004,5000萬元,暫不提供,暫不提供,臺南市安南區安通路四段110號,,,,
保吉紙業有限公司,其他相關製造業,暫不提供,進出口貿易商,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
微笑牙醫診所,診所,暫不提供,牙科診所,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
琳得科精密塗工股份有限公司,電腦及其週邊設備製造業,暫不提供,電子相關製造業,暫不提供,3億6100萬元,暫不提供,90人,暫不提供,,,,
威世貿易有限公司,紡織成衣業,黃小姐,紡織成衣相關業,06-2633888,1684萬元,06-2633877,30人,臺南市南區新建路47號3樓,http://www.cal-republic.com.tw/,,,
吉的堡崇學分校_臺南市私立博聖文理短期補習班,補習班,蕭主任,補習班,暫不提供,暫不提供,暫不提供,暫不提供,臺南市東區崇學路96巷18號1-2樓,,,,
肉慾先生碳烤牛排丼飯,餐館業,林先生,餐館業,06-2222911,暫不提供,06-2236935,暫不提供,臺南市中西區南廠里國華街2段18號,,,,
豪銘塑膠有限公司,塑膠製品製造業,戴先生,塑膠製品製造業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市永康區中山北路452號,,,,
心勝實業股份有限公司,塑膠製品製造業,暫不提供,塑膠製品製造業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
烏山頭湖境渡假會館_烏山頭開發股份有限公司,休閒服務業,陳先生,休閒服務業,06-6993222,暫不提供,06-6983123,暫不提供,臺南市官田區烏山頭里嘉南92號,http://www.huchinghotel.com.tw/,,,
鴻盈工作室,網際網路相關業,暫不提供,網際網路相關業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
大市科技工程有限公司,其他營造業,郭怡汝,起重工程,06-5990201,100萬元,暫不提供,暫不提供,臺南市新市區中山路10號,,,,
大目機械工業股份有限公司,電力機械器材製造修配業,暫不提供,機械相關業,暫不提供,2157萬元,暫不提供,45人,暫不提供,,,,
瑞豐機械有限公司,電力機械器材製造修配業,暫不提供,機械設備製造,暫不提供,5000萬元,暫不提供,40人,暫不提供,https://www.rfmcnc.com,,,
麗家特家居有限公司,室內設計業,暫不提供,室內設計業,暫不提供,200萬元,暫不提供,5人,暫不提供,,,,
承棋科技有限公司,其他相關製造業,暫不提供,電子電路設計制造,暫不提供,180萬元,暫不提供,5人,暫不提供,https://www.facebook.com/ChengQiKeJiYouXianGongSi,,,
大麗建設有限公司,建築工程業,暫不提供,建築工程業,暫不提供,1500萬元,暫不提供,暫不提供,暫不提供,,,,
恆德工程實業有限公司,空調水機電工程業,暫不提供,無塵室廠房設計施工、各類型廠房施工,暫不提供,500萬元,暫不提供,暫不提供,暫不提供,http://www.hundell.com,,,
沐作廚櫃行,建物裝修及裝潢業,暫不提供,系統櫥櫃,暫不提供,20萬元,暫不提供,暫不提供,暫不提供,,,,
金大茶業有限公司,飲料製造業,沈小姐,茶葉批發、飲料茶葉製造批發、茶包生產,暫不提供,暫不提供,暫不提供,暫不提供,臺南市永康區正南五街248巷7號,http://www.twjinda.com/,,,
陸宏機械實業社,鋼鐵基本工業,暫不提供,鋼鐵基本工業,暫不提供,暫不提供,暫不提供,暫不提供,暫不提供,,,,
四季洋圃能源科技股份有限公司,自動控制相關業,黃小姐,作物栽培業/自動控制設備工程/太陽能節能系統,暫不提供,2億1000萬元,暫不提供,25人,臺南市歸仁區歸仁十三路160號4F之6,http://www.fefg.com.tw/,,,
凱泓機械股份有限公司,其他機械製造修配業,依職缺聯絡單位,專用機械設備製造,暫不提供,4500萬元,暫不提供,50人,臺南市永康區永康科技工業區永科七路75號,http://www.kaihung.com,,,
飲饕酒食館_飲饕有限公司,餐館業,林小姐,葡萄酒館/餐飲,06-2519834,暫不提供,暫不提供,5人,臺南市中西區忠義路二段157號1樓,https://bonvivant-wine.com/,,,
祐錦工程有限公司,空調水機電工程業,吳先生,管線╱管道工程相關,暫不提供,100萬元,暫不提供,暫不提供,臺南市安南區海佃路一段188巷18號,,,,
德英生物科技股份有限公司,其他醫療保健服務業,暫不提供,新藥開發公司、保健食品、植萃天然保養品,暫不提供,5億5600萬元,暫不提供,30人,暫不提供,https://www.geherbs.com.tw,,,
港香蘭藥廠股份有限公司,藥品製造業,盧小姐,中藥、保健食品製造業,06-2336681,1億9200萬元,06-2321021,250人,臺南市永康區環工路9號,http://www.kaiser.com.tw,,,
岱銘企業有限公司,塑膠製品製造業,楊先生,塑膠製品製造業,06-2327882,600萬元,暫不提供,10人,臺南市永康區龍國街501號,,,,
千興不銹鋼股份有限公司,其他金屬相關製造業,劉小姐,鋼鐵業,06-5703271,32億,06-5700296,200人,臺南市麻豆區工業路222號,http://www.csssc.com.tw/,,,
里歐歐式早餐台南崇明店_崇明早餐店,其他餐飲業,徐小姐,其他餐飲業,06-2880118,暫不提供,暫不提供,暫不提供,臺南市東區崇明路589號,,,,
多那之咖啡蛋糕烘焙台南新營門市_春元麵包坊,食品什貨零售業,張先生,食品什貨零售業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市新營區民權里三民路89號之5,https://www.facebook.com/donutes606/?rf=401890336560732,,,
宥佺科技有限公司,其他相關製造業,暫不提供,半導體相關製造業,暫不提供,20萬元,暫不提供,暫不提供,暫不提供,,,,
艾瑪特電商有限公司,其他零售業,王先生,其他零售業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市永康區鹽信街173號,,,,
佳士康包裝飲用水工業股份有限公司,飲料製造業,林小姐,食品飲料及淨水工程相關業,06-2426789,1500萬元,06-2422390,暫不提供,臺南市永康區鹽和街237號,http://www.justcan.com.tw,,,
沐黎時尚美學診所,診所,暫不提供,診所,暫不提供,3000萬元,暫不提供,10人,暫不提供,,,,
天弘儀電股份有限公司,其他電子零組件相關業,暫不提供,生產製造業,暫不提供,400萬元,暫不提供,5人,暫不提供,http://www.autento.com.tw/,,,
歐益興業有限公司,其他金屬相關製造業,暫不提供,其他金屬相關製造業,暫不提供,100萬元,暫不提供,2人,暫不提供,,,,
金鼎冷氣_南亨科技股份有限公司,家用電器製造業,李先生,家用電器製造業,06-5931111,500萬元,06-5938489,15人,臺南市安定區中沙里沙崙26-1號,,,,
陳文祥建築師事務所,建築及工程技術服務業,陳韻鈴小姐,建築及工程技術服務業,暫不提供,暫不提供,暫不提供,10人,臺南市東區裕文一街89號,,,,
大媽活蝦,餐館業,黃先生,餐館業,暫不提供,暫不提供,暫不提供,暫不提供,臺南市中西區臨安路1段96號,,,,
